,Type,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Year,Month,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Area,Shape__Length,LSOA_code
230477,Person search,0.0,,51.50998,-0.132331,Male,18-24,Not Stated (NS),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.132331 51.50998),5399.0,5400.0,E01004736,Westminster 018C,24862.0,8.0,3073166.35762024,11771.4038600084,E01004736
230575,Person search,0.0,,51.556981,-0.117481,Female,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Articles for use in criminal damage,Offender given penalty notice,,,2016,10,POINT (-0.117481 51.556981),1674.0,1675.0,E01002731,Islington 007B,11066.0,4.0,453965.857391357,4911.33414254002,E01002731
230589,Person and Vehicle search,0.0,,51.427709,-0.041565,Male,10-17,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.041565 51.427709),4049.0,4050.0,E01003333,Lewisham 035D,10875.0,4.0,314978.454317093,3565.82962822495,E01003333
230704,Person and Vehicle search,0.0,,51.480147,-0.507249,Male,over 34,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.507249 51.480147),,,,,,,,,
230709,Person and Vehicle search,0.0,,51.507946,-0.434522,Male,18-24,Asian or Asian British - Indian (A1),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.434522 51.507946),1359.0,1360.0,E01002406,Hillingdon 027B,10781.0,4.0,3453459.12481689,13936.6684977481,E01002406
230779,Person and Vehicle search,0.0,,51.469708,-0.451842,Male,25-34,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.451842 51.469708),1397.0,1398.0,E01002444,Hillingdon 031A,12349.0,4.0,40703118.4040833,33142.6591573474,E01002444
230910,Person and Vehicle search,0.0,,51.572773,0.130103,Male,25-34,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (0.130103 51.572773),4369.0,4370.0,E01003661,Redbridge 019A,16106.0,5.0,537887.966308594,4233.2990563093,E01003661
231000,Person search,0.0,,51.47431,0.200279,Male,18-24,White - White British (W1),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,10,POINT (0.200279 51.47431),424.0,425.0,E01000430,Bexley 008C,17477.0,6.0,3880812.11401367,10106.0621692575,E01000430
231011,Person and Vehicle search,0.0,,51.56179,-0.080203,Male,18-24,Not Stated (NS),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.080203 51.56179),2592.0,2593.0,E01001741,Hackney 009A,16337.0,5.0,217860.94752121,3161.42897934133,E01001741
231012,Person and Vehicle search,0.0,,51.569972,-0.079007,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.079007 51.569972),2645.0,2646.0,E01001799,Hackney 003A,9863.0,4.0,279129.795448303,4179.31973302409,E01001799
231043,Person search,0.0,,51.535871,0.036743,Male,25-34,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (0.036743 51.535871),4279.0,4280.0,E01003566,Newham 014D,7833.0,3.0,255821.847309113,2545.4435281973,E01003566
231196,Person search,0.0,,51.601561,-0.193353,Male,18-24,White - White British (W1),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,10,POINT (-0.193353 51.601561),291.0,292.0,E01000296,Barnet 023C,22036.0,7.0,576466.607330322,6001.85421568778,E01000296
231198,Person search,0.0,,51.522276,-0.070867,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.070867 51.522276),4993.0,4994.0,E01004317,Tower Hamlets 009D,9244.0,3.0,707675.860996246,4287.80483007628,E01004317
231267,Person and Vehicle search,0.0,,51.603431,-0.112715,Male,over 34,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.112715 51.603431),2813.0,2814.0,E01001971,Haringey 001B,4922.0,2.0,326073.638710022,3028.12383737941,E01001971
231326,Person and Vehicle search,0.0,,51.51666,0.016053,Male,over 34,Asian or Asian British - Pakistani (A2),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (0.016053 51.51666),,,,,,,,,
231559,Person and Vehicle search,0.0,,51.57345,0.12354,Male,25-34,Asian or Asian British - Bangladeshi (A3),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (0.12354 51.57345),4369.0,4370.0,E01003661,Redbridge 019A,16106.0,5.0,537887.966308594,4233.2990563093,E01003661
231572,Person search,0.0,,51.545811,-0.202846,Male,18-24,Mixed - Any other Mixed ethnic background (M9),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.202846 51.545811),484.0,485.0,E01000490,Brent 023A,11248.0,4.0,342490.863616943,3953.32921593395,E01000490
231673,Person search,0.0,,51.532937,0.082925,Male,over 34,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (0.082925 51.532937),47.0,48.0,E01000051,Barking and Dagenham 021D,5228.0,2.0,169824.188259125,1756.16267339778,E01000051
231692,Person and Vehicle search,0.0,,51.598308,-0.091226,Male,over 34,Asian or Asian British - Bangladeshi (A3),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.091226 51.598308),1052.0,1053.0,E01002097,Haringey 005D,3670.0,2.0,278916.307964325,2642.25182953103,E01002097
231728,Person search,0.0,,51.586498,-0.222114,Male,over 34,Mixed - Any other Mixed ethnic background (M9),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.222114 51.586498),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
231809,Person search,0.0,,51.488991,-0.077746,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.077746 51.488991),4726.0,4727.0,E01004040,Southwark 013C,4297.0,2.0,278823.562801361,3710.55973995436,E01004040
231864,Person and Vehicle search,0.0,,51.551673,0.025707,Male,over 34,Asian or Asian British - Pakistani (A2),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (0.025707 51.551673),4256.0,4257.0,E01003543,Newham 001A,11912.0,4.0,431535.124368668,3679.05015470695,E01003543
231898,Person search,0.0,,51.616908,-0.133925,Male,18-24,Not Stated (NS),Black,Firearms,Offender given penalty notice,,,2016,10,POINT (-0.133925 51.616908),2401.0,2402.0,E01001534,Enfield 032E,23107.0,8.0,1049579.18244171,5625.70785762032,E01001534
232041,Person search,0.0,,51.583972,-0.07566,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.07566 51.583972),1024.0,1025.0,E01002069,Haringey 024B,4272.0,2.0,426006.329406738,4591.68785318489,E01002069
232062,Person search,0.0,,51.498062,-0.376859,Male,25-34,Asian or Asian British - Indian (A1),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.376859 51.498062),2239.0,2240.0,E01001369,Ealing 038D,10823.0,4.0,394636.062255859,2981.00661272645,E01001369
232097,Person and Vehicle search,0.0,,51.587476,-0.043927,Male,25-34,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.043927 51.587476),5134.0,5135.0,E01004461,Waltham Forest 014E,18694.0,6.0,569899.990596771,4014.73722336841,E01004461
232132,Person and Vehicle search,0.0,,51.530172,0.037642,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (0.037642 51.530172),4208.0,4209.0,E01003492,Newham 025A,10800.0,4.0,250456.237375259,3040.82688528757,E01003492
232180,Person search,0.0,,51.374152,-0.105219,Male,18-24,Asian or Asian British - Indian (A1),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.105219 51.374152),995.0,996.0,E01001014,Croydon 024A,7895.0,3.0,1637870.46355438,9115.15471690911,E01001014
232278,Person and Vehicle search,0.0,,51.553554,-0.070943,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.070943 51.553554),2595.0,2596.0,E01001745,Hackney 016A,5257.0,2.0,288323.383865356,3727.03789001551,E01001745
232471,Person search,0.0,,51.522483,-0.127452,Male,25-34,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.127452 51.522483),837.0,838.0,E01000855,Camden 028A,19276.0,6.0,830022.943870544,7214.70140277257,E01000855
232523,Person search,0.0,,51.495146,-0.159272,Male,25-34,Asian or Asian British - Any other Asian ethnic background (A9),Other,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.159272 51.495146),1803.0,1804.0,E01002863,Kensington and Chelsea 012E,24615.0,8.0,323007.667137146,2929.39075311687,E01002863
232524,Person search,0.0,,51.583972,-0.07566,Male,25-34,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.07566 51.583972),1024.0,1025.0,E01002069,Haringey 024B,4272.0,2.0,426006.329406738,4591.68785318489,E01002069
232584,Person search,0.0,,51.592125,-0.257943,Male,10-17,Not Stated (NS),Asian,Articles for use in criminal damage,Offender given penalty notice,,,2016,10,POINT (-0.257943 51.592125),508.0,509.0,E01000516,Brent 002C,14898.0,5.0,640922.673019409,4797.20723682493,E01000516
232631,Person search,0.0,,51.471839,-0.349698,Male,25-34,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.349698 51.471839),1590.0,1591.0,E01002643,Hounslow 015B,12090.0,4.0,840128.968688965,4812.1416751728,E01002643
232646,Person search,0.0,,51.526642,-0.121515,Male,18-24,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.121515 51.526642),919.0,920.0,E01000937,Camden 025B,19616.0,6.0,327501.697563171,3413.81339073449,E01000937
