,Type,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Further_outcome,Year,Month,season,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Area,Shape__Length,LSOA_code
992226,Person and Vehicle search,0.0,,51.585748,-0.227859,Male,25-34,Asian/Asian British - Pakistani,Asian,Offensive weapons,A no further action disposal,,,1,2020,8,2,POINT (-0.227859 51.585748),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
992237,Person and Vehicle search,0.0,,51.585748,-0.227859,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Offensive weapons,A no further action disposal,,,1,2020,8,2,POINT (-0.227859 51.585748),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
993990,Person search,0.0,,51.577583,-0.229028,Male,18-24,Other ethnic group - Not stated,White,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.229028 51.577583),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
994210,Person search,0.0,,51.576637,-0.239038,Male,,Other ethnic group - Any other ethnic group,Other,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
994282,Person search,0.0,,51.585631,-0.230794,Male,,Other ethnic group - Not stated,Asian,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.230794 51.585631),304.0,305.0,E01000309,Barnet 031D,20046.0,7.0,745335.344039917,4383.89608689771,E01000309
994666,Person search,0.0,,51.577136,-0.2316,Male,10-17,Black/African/Caribbean/Black British - African,Black,Offensive weapons,A no further action disposal,,,1,2020,8,2,POINT (-0.2316 51.577136),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
994775,Person and Vehicle search,0.0,,51.574388,-0.227074,Male,25-34,White - Any other White background,White,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.227074 51.574388),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
995850,Person search,0.0,,51.577757,-0.235776,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.235776 51.577757),301.0,302.0,E01000306,Barnet 036C,19906.0,7.0,374796.169204712,3209.44510100433,E01000306
996363,Person search,0.0,,51.594833,-0.23575,Male,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Offensive weapons,A no further action disposal,,,1,2020,8,2,POINT (-0.23575 51.594833),234.0,235.0,E01000239,Barnet 031A,13120.0,4.0,1121637.79927063,7129.27458479399,E01000239
996405,Person search,0.0,,51.594833,-0.23575,Male,18-24,Black/African/Caribbean/Black British - African,Black,Offensive weapons,A no further action disposal,,,1,2020,8,2,POINT (-0.23575 51.594833),234.0,235.0,E01000239,Barnet 031A,13120.0,4.0,1121637.79927063,7129.27458479399,E01000239
